Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
skincareroutine,23,2.392857142857143,0.10757306222310825,2,2025-10-13,2025-10-20,0.4884399189478361,-0.4884399189478361
skincare,47,2.392857142857143,0.1473433486707499,6,2025-09-08,2025-10-20,0.34537917889022257,-0.34537917889022257
strong strong,30,2.25,0.27305144714452206,2,2025-10-13,2025-10-20,0.40411192956024355,-0.40411192956024355
skin,33,2.2499999999999996,0.16974752619311778,4,2025-09-15,2025-10-20,0.3858718165706448,-0.3858718165706448
figure img src,26,2.1785714285714284,0.08168655234389219,2,2025-10-13,2025-10-20,0.4192662669115139,-0.4192662669115139
src figure,26,2.1785714285714284,0.08168655234389219,2,2025-10-13,2025-10-20,0.4192662669115139,-0.4192662669115139
img src figure,26,2.1785714285714284,0.08168655234389219,2,2025-10-13,2025-10-20,0.4192662669115139,-0.4192662669115139
img src,26,2.1785714285714284,0.08168655234389219,2,2025-10-13,2025-10-20,0.4192662669115139,-0.4192662669115139
right,23,2.107142857142857,0.030129057791622196,2,2025-10-13,2025-10-20,0.43011873459585576,-0.43011873459585576
tiktok,32,2.0,0.20338838589380437,4,2025-09-08,2025-10-20,0.3481553119113957,-0.3481553119113957
love,23,1.9642857142857144,0.061242522003493824,2,2025-10-13,2025-10-20,0.40095814241986555,-0.40095814241986555
