Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
featuring,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
house,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
hydrating,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
known,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
makeup look,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
market,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
quickly,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
summer,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
thing,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
way,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
say,9,0.8928571428571428,0.06035218589083692,2,2025-11-17,2025-11-24,0.282346219657891,-0.282346219657891,0.282346219657891
tried,10,0.9285714285714285,0.09931616811350434,2,2025-11-10,2025-11-24,0.2799748199650662,-0.2799748199650662,0.2799748199650662
kit,11,0.9642857142857142,0.1374225649110928,2,2025-11-03,2025-11-24,0.27836530835928386,-0.27836530835928386,0.27836530835928386
use,11,0.9642857142857142,0.1374225649110928,2,2025-11-03,2025-11-24,0.27836530835928386,-0.27836530835928386,0.27836530835928386
art,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
book,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
especially,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
giving,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
global,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
gloves,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
great,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
like goodness,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
like goodness right,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
little,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
smells,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
statement,7,0.75,0.14381080871160368,1,2025-11-24,2025-11-24,0.2651650429449553,-0.2651650429449553,0.2651650429449553
